FIPS Code,State,Area name,"Less than a high school diploma, 2010-2014","High school diploma only, 2010-2014","Some college or associate's degree, 2010-2014","Bachelor's degree or higher, 2010-2014","Percent of adults with less than a high school diploma, 2010-2014","Percent of adults with a high school diploma only, 2010-2014","Percent of adults completing some college or associate's degree, 2010-2014","Percent of adults with a bachelor's degree or higher, 2010-2014"
00000,US,United States,28587748,58440600,60821634,61206147,13.7,28.0,29.1,29.3
01000,AL,Alabama,524368,999761,951960,741813,16.3,31.1,29.6,23.1
01001,AL,Autauga County,5012,12139,11132,7950,13.8,33.5,30.7,21.9
01003,AL,Baldwin County,14615,38401,42104,38147,11.0,28.8,31.6,28.6
01005,AL,Barbour County,4790,6300,5183,2563,25.4,33.4,27.5,13.6
01007,AL,Bibb County,3466,6283,4328,1606,22.1,40.1,27.6,10.2
01009,AL,Blount County,8567,13471,12225,4789,21.9,34.5,31.3,12.3
01011,AL,Bullock County,2511,2353,1393,1026,34.5,32.3,19.1,14.1
01013,AL,Butler County,3288,5214,3528,2011,23.4,37.1,25.1,14.3
01015,AL,Calhoun County,15674,25495,24199,13299,19.9,32.4,30.8,16.9
01017,AL,Chambers County,5367,8885,6658,2911,22.5,37.3,28.0,12.2
01019,AL,Cherokee County,3856,6747,5620,2583,20.5,35.9,29.9,13.7
01021,AL,Chilton County,6605,11753,7057,3978,22.5,40.0,24.0,13.5
01023,AL,Choctaw County,2481,3368,2493,1222,25.9,35.2,26.1,12.8
01025,AL,Clarke County,3424,7566,4175,2055,19.9,43.9,24.2,11.9
01027,AL,Clay County,2418,3487,2890,825,25.1,36.2,30.0,8.6
01029,AL,Cleburne County,2543,3982,2694,1089,24.7,38.6,26.1,10.6
01031,AL,Coffee County,5797,10241,10350,7975,16.9,29.8,30.1,23.2
01033,AL,Colbert County,6222,12851,12230,6706,16.4,33.8,32.2,17.6
01035,AL,Conecuh County,2142,3826,2219,743,24.0,42.8,24.8,8.3
01037,AL,Coosa County,1981,3249,2243,745,24.1,39.5,27.3,9.1
01039,AL,Covington County,5300,9025,8299,3854,20.0,34.1,31.3,14.6
01041,AL,Crenshaw County,2205,3678,2456,1188,23.1,38.6,25.8,12.5
01043,AL,Cullman County,10219,18381,18394,8386,18.5,33.2,33.2,15.1
01045,AL,Dale County,5062,10301,12178,5588,15.3,31.1,36.8,16.9
01047,AL,Dallas County,6183,9811,7699,4006,22.3,35.4,27.8,14.5
01049,AL,DeKalb County,12650,16418,12689,5324,26.9,34.9,27.0,11.3
01051,AL,Elmore County,6924,19002,16489,11549,12.8,35.2,30.6,21.4
01053,AL,Escambia County,5554,10431,6667,3242,21.4,40.3,25.7,12.5
01055,AL,Etowah County,12837,23147,24606,11046,17.9,32.3,34.3,15.4
01057,AL,Fayette County,2853,4543,2890,1649,23.9,38.1,24.2,13.8
01059,AL,Franklin County,5416,7706,5726,2314,25.6,36.4,27.1,10.9
01061,AL,Geneva County,4108,7221,5298,2106,21.9,38.5,28.3,11.2
01063,AL,Greene County,1468,2159,1583,678,24.9,36.7,26.9,11.5
01065,AL,Hale County,2130,4225,2560,1449,20.6,40.8,24.7,14.0
01067,AL,Henry County,2519,4407,3319,2062,20.5,35.8,27.0,16.8
01069,AL,Houston County,10952,23629,21152,13990,15.7,33.9,30.3,20.1
01071,AL,Jackson County,9187,13893,9278,4812,24.7,37.4,25.0,12.9
01073,AL,Jefferson County,54313,117854,136556,134400,12.3,26.6,30.8,30.3
01075,AL,Lamar County,2237,3863,2861,1151,22.1,38.2,28.3,11.4
01077,AL,Lauderdale County,10016,21065,17779,13900,16.0,33.6,28.3,22.1
01079,AL,Lawrence County,5130,9224,6410,2647,21.9,39.4,27.4,11.3
01081,AL,Lee County,10676,22256,24216,28447,12.5,26.0,28.3,33.2
01083,AL,Limestone County,10367,18672,16805,13754,17.4,31.3,28.2,23.1
01085,AL,Lowndes County,1988,2468,1860,961,27.3,33.9,25.6,13.2
01087,AL,Macon County,2356,3822,3989,2442,18.7,30.3,31.6,19.4
01089,AL,Madison County,22776,48645,69563,88796,9.9,21.2,30.3,38.6
01091,AL,Marengo County,2185,5798,3735,2225,15.7,41.6,26.8,16.0
01093,AL,Marion County,5451,7402,6451,2409,25.1,34.1,29.7,11.1
01095,AL,Marshall County,14318,20310,17790,10088,22.9,32.5,28.5,16.1
01097,AL,Mobile County,41121,89075,83236,58139,15.1,32.8,30.6,21.4
01099,AL,Monroe County,3229,6178,3801,1885,21.4,40.9,25.2,12.5
01101,AL,Montgomery County,22135,38650,40357,46026,15.0,26.3,27.4,31.3
01103,AL,Morgan County,14785,26021,24504,16199,18.1,31.9,30.1,19.9
01105,AL,Perry County,1901,2421,1362,568,30.4,38.7,21.8,9.1
01107,AL,Pickens County,2901,5771,3585,1305,21.4,42.6,26.4,9.6
01109,AL,Pike County,3856,6490,4385,4547,20.0,33.7,22.7,23.6
01111,AL,Randolph County,3965,5920,3713,1927,25.5,38.1,23.9,12.4
01113,AL,Russell County,6959,12119,12402,5755,18.7,32.5,33.3,15.5
01115,AL,St. Clair County,10327,20876,18411,9087,17.6,35.6,31.4,15.5
01117,AL,Shelby County,11778,28911,40082,54284,8.7,21.4,29.7,40.2
01119,AL,Sumter County,1895,3321,1810,1242,22.9,40.2,21.9,15.0
01121,AL,Talladega County,11388,21130,16466,6967,20.4,37.8,29.4,12.5
01123,AL,Tallapoosa County,5696,10269,7865,5091,19.7,35.5,27.2,17.6
01125,AL,Tuscaloosa County,15570,36978,34061,33226,13.0,30.9,28.4,27.7
01127,AL,Walker County,10522,16179,14282,4918,22.9,35.2,31.1,10.7
01129,AL,Washington County,2070,5569,2672,1179,18.0,48.5,23.3,10.3
01131,AL,Wilcox County,1596,3146,1864,860,21.4,42.1,25.0,11.5
01133,AL,Winston County,4535,5770,5083,1922,26.2,33.3,29.4,11.1
02000,AK,Alaska,37700,126611,168570,127438,8.2,27.5,36.6,27.7
02010,AK,Aleutian Islands,,,,,,,,
02013,AK,Aleutians East Borough,522,1028,674,320,20.5,40.4,26.5,12.6
02016,AK,Aleutians West Census Area,592,1498,1364,630,14.5,36.7,33.4,15.4
02020,AK,Anchorage Municipality,14044,43914,68189,61968,7.5,23.3,36.2,32.9
02050,AK,Bethel Census Area,1833,3854,2513,1053,19.8,41.7,27.2,11.4
02060,AK,Bristol Bay Borough,59,191,283,135,8.8,28.6,42.4,20.2
02068,AK,Denali Borough,129,368,499,416,9.1,26.1,35.3,29.5
02070,AK,Dillingham Census Area,431,987,881,456,15.6,35.8,32.0,16.6
02090,AK,Fairbanks North Star Borough,4013,14629,23296,18439,6.6,24.2,38.6,30.5
02100,AK,Haines Borough,80,591,618,587,4.3,31.5,32.9,31.3
02105,AK,Hoonah-Angoon Census Area,162,485,492,472,10.1,30.1,30.5,29.3
02110,AK,Juneau City and Borough,1182,4699,7780,8287,5.4,21.4,35.4,37.8
02122,AK,Kenai Peninsula Borough,2599,12512,14540,8985,6.7,32.4,37.6,23.3
02130,AK,Ketchikan Gateway Borough,664,3106,3209,2279,7.2,33.5,34.7,24.6
02150,AK,Kodiak Island Borough,762,2183,3703,1832,9.0,25.7,43.7,21.6
02160,AK,Kuskokwim Division,,,,,,,,
02164,AK,Lake and Peninsula Borough,124,335,259,114,14.9,40.3,31.1,13.7
02170,AK,Matanuska-Susitna Borough,4439,18985,23338,12374,7.5,32.1,39.5,20.9
02180,AK,Nome Census Area,819,2275,1468,787,15.3,42.5,27.4,14.7
02185,AK,North Slope Borough,808,2214,2388,837,12.9,35.4,38.2,13.4
02188,AK,Northwest Arctic Borough,823,1666,1013,479,20.7,41.8,25.4,12.0
02195,AK,Petersburg Census Area,104,752,841,571,4.6,33.2,37.1,25.2
02198,AK,Prince of Wales-Hyder Census Area,380,1802,1406,697,8.9,42.1,32.8,16.3
02201,AK,Prince of Wales-Outer Ketchikan Census Area,,,,,,,,
02220,AK,Sitka City and Borough,492,1337,2311,2029,8.0,21.7,37.5,32.9
02230,AK,Skagway Municipality,24,212,242,253,3.3,29.0,33.1,34.6
02231,AK,Skagway-Yakutat-Angoon Census Area,,,,,,,,
02232,AK,Skagway-Hoonah-Angoon Census Area,,,,,,,,
02240,AK,Southeast Fairbanks Census Area,360,1401,1785,923,8.1,31.3,39.9,20.7
02250,AK,Upper Yukon Division,,,,,,,,
02261,AK,Valdez-Cordova Census Area,547,1716,2649,1560,8.5,26.5,40.9,24.1
02270,AK,Wade Hampton Census Area,817,1705,847,160,23.2,48.3,24.0,4.5
02275,AK,Wrangell City and Borough,204,667,659,351,10.8,35.5,35.0,18.7
02280,AK,Wrangell-Petersburg Census Area,,,,,,,,
02282,AK,Yakutat City and Borough,35,168,139,87,8.2,39.2,32.4,20.3
02290,AK,Yukon-Koyukuk Census Area,652,1331,1184,357,18.5,37.8,33.6,10.1
04000,AZ,Arizona,604392,1050079,1469229,1161076,14.1,24.5,34.3,27.1
04001,AZ,Apache County,10347,14051,14049,4320,24.2,32.9,32.9,10.1
04003,AZ,Cochise County,12158,21109,35103,20534,13.7,23.7,39.5,23.1
04005,AZ,Coconino County,9710,17184,26363,26043,12.2,21.7,33.2,32.8
04007,AZ,Gila County,6297,11546,13937,6539,16.4,30.1,36.4,17.1
04009,AZ,Graham County,3323,7661,8485,3058,14.8,34.0,37.7,13.6
04011,AZ,Greenlee County,829,2057,2032,656,14.9,36.9,36.5,11.8
04012,AZ,La Paz County,3610,5568,4850,1590,23.1,35.7,31.1,10.2
04013,AZ,Maricopa County,341720,593094,851743,764035,13.4,23.3,33.4,30.0
04015,AZ,Mohave County,23909,51575,55122,18191,16.1,34.7,37.0,12.2
04017,AZ,Navajo County,12628,19232,24857,9642,19.0,29.0,37.5,14.5
04019,AZ,Pima County,81894,149147,226658,196798,12.5,22.8,34.6,30.1
04021,AZ,Pinal County,39027,77438,95999,46165,15.1,29.9,37.1,17.8
04023,AZ,Santa Cruz County,7802,7529,7309,6387,26.9,25.9,25.2,22.0
04025,AZ,Yavapai County,16146,41532,62605,39824,10.1,25.9,39.1,24.9
04027,AZ,Yuma County,34992,31356,40117,17294,28.3,25.3,32.4,14.0
05000,AR,Arkansas,306199,682451,558722,402591,15.7,35.0,28.7,20.6
05001,AR,Arkansas County,2185,5739,3308,1810,16.8,44.0,25.4,13.9
05003,AR,Ashley County,2226,6370,4174,1865,15.2,43.5,28.5,12.7
05005,AR,Baxter County,4081,11184,10617,5458,13.0,35.7,33.9,17.4
